Depcom	affichage	atteinte cible	Rep_hab graph	Rep_hab	Reste (num)	Nom Com Dep	Nom Commune	Latitude	Longitude	cible	nb rep 2019 cyclistes	Number of Records	Population	Unité affichage
95424	0.238925790	0.023892579	0.238925790	0.238925790	45	Montigny-lès-Cormeilles-95	Montigny-lès-Cormeilles	48.993803556	2.193517930	209.27	5	5	20927	réponses par habitant
95409	1.444043321	0.04	1.444043321	1.444043321	48	Moisselles-95	Moisselles	49.045959873	2.337449393	50	2	2	1385	réponses par habitant
95394	0.308896211	0.030889621	0.308896211	0.308896211	47	Méry-sur-Oise-95	Méry-sur-Oise	49.054842257	2.173972542	97.12	3	3	9712	réponses par habitant
95392	1.186005139	0.118600514	1.186005139	1.186005139	44	Mériel-95	Mériel	49.077158726	2.213250514	50.59	6	6	5059	réponses par habitant
95388	1.070090958	0.107009096	1.070090958	1.070090958	45	Menucourt-95	Menucourt	49.027542218	1.974684821	56.07	5	6	5607	réponses par habitant
95369	1.028806584	0.06	1.028806584	1.028806584	48	Margency-95	Margency	49.001488847	2.289070090	50	2	3	2916	réponses par habitant
95355	0.360036004	0.036003600	0.360036004	0.360036004	49	Magny-en-Vexin-95	Magny-en-Vexin	49.158617564	1.810393221	55.55	1	2	5555	réponses par habitant
95352	0.2	0.02	0.2	0.219635405	50	Luzarches-95	Luzarches	49.115121112	2.440826410	50	0	1	4553	réponses par habitant
95351	0.194476857	0.019447686	0.194476857	0.194476857	48	Louvres-95	Louvres	49.042297770	2.503584914	102.84	2	2	10284	réponses par habitant
95341	0.2	0.02	0.2	2.583979328	49	Livilliers-95	Livilliers	49.100457423	2.094623911	50	1	1	387	réponses par habitant
95323	0.810271753	0.081027175	0.810271753	0.810271753	38	Jouy-le-Moutier-95	Jouy-le-Moutier	49.011362506	2.034083179	160.44	12	13	16044	réponses par habitant
95316	0.2	0.02	0.2	3.875968992	49	Jagny-sous-Bois-95	Jagny-sous-Bois	49.081427808	2.443995114	50	1	1	258	réponses par habitant
95313	0.403388463	0.040338846	0.403388463	0.403388463	45	L'Isle-Adam-95	L'Isle-Adam	49.107225592	2.234362418	123.95	5	5	12395	réponses par habitant
95306	3.268423588	0.326842359	3.268423588	3.268423588	0	Herblay-95	Herblay-sur-Seine	49.000700276	2.149676808	290.66	83	95	29066	réponses par habitant
